TIME: 35 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 36 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 0; max_ELAPSED: 2
TIME: 37 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 38 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 1 ; min_ELAPSE: 1; max_ELAPSED: 2
TIME: 39 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 40 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 41 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 42 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 43 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 44 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 9 ; min_ELAPSE: 5; max_ELAPSED: 14
TIME: 45 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 1; max_ELAPSED: 3
TIME: 46 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 8 ; min_ELAPSE: 6; max_ELAPSED: 10
TIME: 47 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 3 ; min_ELAPSE: 3; max_ELAPSED: 4
TIME: 48 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 3; max_ELAPSED: 6
TIME: 49 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 7 ; min_ELAPSE: 3; max_ELAPSED: 12
TIME: 50 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 4 ; min_ELAPSE: 4; max_ELAPSED: 4
TIME: 51 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 2 ; min_ELAPSE: 2; max_ELAPSED: 3
TIME: 52 ; SENT_COUNT: 2 ; RECEIVED_COUNT; 4 ; SENT_MILLIS: -1; SUM_ELAPSED: 6 ; min_ELAPSE: 3; max_ELAPSED: 10
